#,payment_id,customer_id,staff_id,rental_id,amount,payment_date,payment_type
1,32098,264,2,14243,2.99,2007-05-14 13:44:29.996577,
2,32097,263,1,15293,0.99,2007-05-14 13:44:29.996577,
3,32096,252,2,13756,4.99,2007-05-14 13:44:29.996577,
4,32095,251,1,14107,0.99,2007-05-14 13:44:29.996577,
5,32094,245,2,12682,2.99,2007-05-14 13:44:29.996577,
6,32093,244,2,12736,4.99,2007-05-14 13:44:29.996577,
7,32092,236,1,12988,0.99,2007-05-14 13:44:29.996577,
8,32091,234,1,15778,0.99,2007-05-14 13:44:29.996577,
9,32090,229,2,13295,0.99,2007-05-14 13:44:29.996577,
10,32089,228,1,15234,0.00,2007-05-14 13:44:29.996577,
11,32088,228,2,12672,3.98,2007-05-14 13:44:29.996577,
12,32087,227,2,13374,4.99,2007-05-14 13:44:29.996577,
13,32086,219,1,11577,4.99,2007-05-14 13:44:29.996577,
14,32085,216,1,11676,0.00,2007-05-14 13:44:29.996577,
15,32084,216,1,12970,5.98,2007-05-14 13:44:29.996577,
16,32083,215,2,15862,0.99,2007-05-14 13:44:29.996577,
17,32082,214,2,15645,2.99,2007-05-14 13:44:29.996577,
18,32081,213,2,14374,2.99,2007-05-14 13:44:29.996577,
19,32080,211,2,12746,4.99,2007-05-14 13:44:29.996577,
20,32079,208,1,15717,0.00,2007-05-14 13:44:29.996577,
21,32078,208,1,13719,5.98,2007-05-14 13:44:29.996577,
22,32077,200,2,11866,2.99,2007-05-14 13:44:29.996577,
23,32076,199,2,13952,2.99,2007-05-14 13:44:29.996577,
24,32075,193,2,15729,2.99,2007-05-14 13:44:29.996577,
25,32074,192,1,11611,4.99,2007-05-14 13:44:29.996577,
26,32073,191,1,14361,0.99,2007-05-14 13:44:29.996577,
27,32072,190,2,15167,4.99,2007-05-14 13:44:29.996577,
28,32071,188,1,14503,2.99,2007-05-14 13:44:29.996577,
29,32070,186,1,14216,2.99,2007-05-14 13:44:29.996577,
30,32069,181,2,13008,2.99,2007-05-14 13:44:29.996577,
31,32068,180,1,12901,4.99,2007-05-14 13:44:29.996577,
32,32067,178,1,12897,4.99,2007-05-14 13:44:29.996577,
33,32066,175,2,13161,0.00,2007-05-14 13:44:29.996577,
34,32065,175,2,14060,3.98,2007-05-14 13:44:29.996577,
35,32064,168,1,15894,0.99,2007-05-14 13:44:29.996577,
36,32063,163,1,15282,0.00,2007-05-14 13:44:29.996577,
37,32062,163,2,11754,7.98,2007-05-14 13:44:29.996577,
38,32061,162,1,14220,0.99,2007-05-14 13:44:29.996577,
39,32060,155,1,12352,0.00,2007-05-14 13:44:29.996577,
40,32059,155,2,11496,7.98,2007-05-14 13:44:29.996577,
41,32058,152,2,11848,4.99,2007-05-14 13:44:29.996577,
42,32057,142,1,15454,0.99,2007-05-14 13:44:29.996577,
43,32056,135,1,13390,0.99,2007-05-14 13:44:29.996577,
44,32055,120,1,15780,4.99,2007-05-14 13:44:29.996577,
45,32054,115,2,13056,2.99,2007-05-14 13:44:29.996577,
46,32053,114,2,12506,4.99,2007-05-14 13:44:29.996577,
47,32052,111,2,15542,2.99,2007-05-14 13:44:29.996577,
48,32051,108,1,15294,4.99,2007-05-14 13:44:29.996577,
49,32050,107,1,15497,0.00,2007-05-14 13:44:29.996577,
